iter	Logloss
0	0.6128065365
1	0.5458192659
2	0.4874813328
3	0.4404927358
4	0.4019870174
5	0.3701927664
6	0.3435415218
7	0.321781065
8	0.3048844771
9	0.290876995
10	0.27505303
11	0.2620432414
12	0.2523501121
13	0.2422380202
14	0.2332864442
15	0.2250181797
16	0.2180942064
17	0.2118683115
18	0.2062323238
19	0.2020154856
20	0.1985954571
21	0.1952848833
22	0.1920891687
23	0.189643446
24	0.1872855787
25	0.1853991089
26	0.1835269649
27	0.1820023051
28	0.1803722454
29	0.1791026906
30	0.1779449229
31	0.1768652239
32	0.1760649557
33	0.175133218
34	0.1742494024
35	0.1732028279
36	0.1722996759
37	0.1715865492
38	0.1709036428
39	0.1706904296
40	0.1701234272
41	0.1695748577
42	0.1692955287
43	0.1687144429
44	0.1677053945
45	0.1669258748
46	0.1662601555
47	0.1656941616
48	0.1650514114
49	0.1645622218
50	0.1642615906
51	0.1637855908
52	0.1635383861
53	0.1631186041
54	0.1626449007
55	0.1623647337
56	0.1621820866
57	0.1618183745
58	0.1614760083
59	0.1612862685
60	0.1610287848
61	0.1608657205
62	0.1605410902
63	0.1602655807
64	0.1601319235
65	0.1601028312
66	0.1599181492
67	0.1597083761
68	0.1595959475
69	0.1593866615
70	0.1592581159
71	0.1590600441
72	0.1589833218
73	0.1589268568
74	0.1586598869
75	0.1584748169
76	0.158265201
77	0.1581298352
78	0.1579920232
79	0.1578362595
80	0.1577499491
81	0.1576083773
82	0.1575433332
83	0.1574684081
84	0.1573665493
85	0.1570963884
86	0.1568559905
87	0.1564712492
88	0.1564008954
89	0.1563175718
90	0.1562680369
91	0.1560816646
92	0.1558739967
93	0.1556459295
94	0.1555743909
95	0.155512948
96	0.155424355
97	0.1553364767
98	0.1552766854
99	0.1552144374
100	0.1550771955
101	0.1548787066
102	0.1548042507
103	0.1547364389
104	0.1546496073
105	0.1545622514
106	0.1544559749
107	0.15438795
108	0.1543196989
109	0.1541898291
110	0.1540194003
111	0.153921804
112	0.1538128568
113	0.1537547477
114	0.1536847916
115	0.1536801496
116	0.1535560407
117	0.1534769729
118	0.1534655796
119	0.1533101328
120	0.1531890228
121	0.1531464387
122	0.1531354612
123	0.1531079739
124	0.1530198878
125	0.152983188
126	0.1529336965
127	0.1528698223
128	0.1527589359
129	0.1526664084
130	0.1525203364
131	0.1524222711
132	0.1523647601
133	0.1523172321
134	0.1522735103
135	0.1521545097
136	0.1521116621
137	0.152107489
138	0.1520486245
139	0.1520005713
140	0.1518786802
141	0.1517381523
142	0.1515884987
143	0.1515113807
144	0.1514588662
145	0.1513358064
146	0.1512694088
147	0.1511790865
148	0.1510763311
149	0.1509551872
150	0.1508834687
151	0.1507795564
152	0.1507297297
153	0.1507011895
154	0.1506825535
155	0.1506545775
156	0.150629561
157	0.1505663556
158	0.150505015
159	0.1504182488
160	0.1502871988
161	0.1501834597
162	0.1500842479
163	0.1500088945
164	0.1499231155
165	0.1498657806
166	0.1498374195
167	0.1498034121
168	0.1497579753
169	0.1497260041
170	0.1495851179
171	0.1494949277
172	0.1493922056
173	0.1493713255
174	0.1492900705
175	0.1491764897
176	0.1490625592
177	0.1490321983
178	0.1490004953
179	0.1489269554
180	0.1488397878
181	0.1488144944
182	0.1487959513
183	0.1487009443
184	0.14866594
185	0.1485475896
186	0.1483956885
187	0.1482728085
188	0.148111712
189	0.1480521119
190	0.1480406342
191	0.1479254679
192	0.147858219
193	0.147768448
194	0.1477154618
195	0.1476986479
196	0.1476788524
197	0.1475258886
