iter	Passed	Remaining
0	11	11207
1	23	11626
2	35	11862
3	49	12243
4	68	13532
5	78	12976
6	98	13913
7	106	13249
8	123	13586
9	135	13426
10	161	14542
11	175	14427
12	257	19547
13	285	20091
14	306	20119
15	314	19364
16	321	18580
17	334	18262
18	354	18285
19	373	18311
20	393	18346
21	415	18480
22	429	18228
23	445	18105
24	462	18022
25	479	17961
26	502	18105
27	535	18587
28	552	18494
29	574	18562
30	595	18603
31	611	18511
32	629	18453
33	639	18177
34	654	18051
35	694	18592
36	715	18618
37	733	18576
38	751	18527
39	769	18460
40	786	18401
41	799	18230
42	813	18108
43	827	17986
44	843	17905
45	857	17785
46	870	17647
47	882	17503
48	897	17427
49	913	17349
50	926	17248
51	939	17136
52	949	16957
53	956	16751
54	967	16627
55	1062	17909
56	1103	18248
57	1119	18176
58	1137	18143
59	1156	18113
60	1179	18158
61	1193	18060
62	1210	17998
63	1269	18573
64	1291	18573
65	1308	18514
66	1331	18538
67	1354	18558
68	1373	18531
69	1390	18469
70	1403	18360
71	1421	18325
72	1438	18269
73	1451	18165
74	1465	18074
75	1485	18058
76	1498	17957
77	1511	17862
78	1517	17690
79	1528	17579
80	1543	17508
81	1557	17436
82	1576	17412
83	1592	17371
84	1607	17309
85	1621	17232
86	1632	17134
87	1648	17084
88	1663	17030
89	1679	16980
90	1700	16986
91	1712	16905
92	1719	16767
93	1734	16713
94	1752	16696
95	1768	16658
96	1785	16624
97	1797	16548
98	1815	16519
99	1827	16445
100	1839	16377
101	1858	16363
102	1874	16328
103	1890	16284
104	1903	16221
105	1915	16155
106	1930	16112
107	1944	16060
108	1965	16067
109	1978	16009
110	1994	15976
111	2012	15958
112	2030	15940
113	2045	15900
114	2074	15966
115	2088	15912
116	2106	15900
117	2121	15858
118	2138	15833
119	2152	15783
120	2167	15748
121	2181	15702
122	2196	15657
123	2210	15613
124	2228	15602
125	2244	15570
126	2259	15531
127	2273	15487
128	2294	15489
129	2312	15478
130	2330	15461
131	2349	15446
132	2364	15415
133	2384	15409
134	2400	15382
135	2419	15370
136	2436	15346
137	2455	15338
138	2470	15302
139	2489	15292
140	2504	15260
141	2520	15226
