iter	Passed	Remaining
407	7828	11359
408	7849	11342
409	7872	11328
410	7894	11314
411	7914	11295
412	7934	11277
413	7953	11257
414	7978	11247
415	7999	11229
416	8018	11210
417	8039	11193
418	8055	11170
419	8076	11152
420	8094	11131
421	8114	11114
422	8128	11087
423	8147	11068
424	8163	11044
425	8183	11026
426	8196	10999
427	8227	10995
428	8245	10974
429	8261	10951
430	8278	10928
431	8298	10910
432	8319	10893
433	8335	10870
434	8352	10848
435	8369	10827
436	8383	10801
437	8403	10782
438	8421	10761
439	8441	10743
440	8461	10725
441	8479	10705
442	8495	10681
443	8512	10659
444	8528	10637
445	8542	10611
446	8560	10590
447	8579	10570
448	8596	10549
449	8611	10525
450	8628	10503
451	8646	10482
452	8666	10464
453	8682	10441
454	8698	10419
455	8718	10400
456	8736	10380
457	8756	10362
458	8774	10341
459	8794	10323
460	8837	10333
461	8854	10311
462	8873	10291
463	8893	10273
464	8918	10261
465	8941	10246
466	8962	10229
467	8983	10212
468	9003	10193
469	9022	10174
470	9042	10155
471	9062	10138
472	9082	10119
473	9104	10103
474	9124	10085
475	9145	10067
476	9168	10052
477	9190	10036
478	9210	10018
479	9239	10008
480	9260	9992
481	9280	9973
482	9298	9952
483	9314	9930
484	9333	9911
485	9357	9896
486	9376	9876
487	9392	9854
488	9413	9836
489	9430	9815
490	9448	9794
491	9464	9772
492	9480	9749
493	9494	9724
494	9510	9703
495	9525	9679
496	9542	9657
497	9559	9636
498	9576	9614
499	9593	9593
500	9610	9571
501	9628	9551
502	9645	9530
503	9664	9510
504	9679	9487
505	9696	9466
506	9712	9444
507	9730	9423
508	9745	9401
509	9763	9380
510	9780	9359
511	9794	9335
512	9809	9311
513	9847	9311
514	9895	9319
515	9914	9299
516	9931	9277
517	9945	9254
518	9963	9234
519	9985	9217
520	10004	9198
521	10021	9176
522	10038	9155
523	10055	9134
524	10068	9109
525	10083	9086
526	10101	9066
527	10116	9043
528	10135	9024
529	10152	9003
530	10168	8981
531	10186	8961
532	10200	8937
533	10218	8917
534	10246	8905
535	10270	8890
536	10290	8872
537	10310	8853
538	10327	8833
539	10349	8815
540	10369	8797
541	10389	8779
542	10412	8763
543	10436	8748
544	10457	8730
545	10474	8709
546	10492	8689
547	10511	8670
548	10531	8651
549	10552	8633
550	10571	8614
551	10589	8594
552	10606	8573
553	10620	8550
554	10637	8529
555	10652	8506
556	10671	8487
557	10689	8467
558	10704	8445
559	10722	8425
560	10739	8403
561	10754	8381
562	10772	8361
563	10787	8338
564	10803	8317
565	10823	8299
566	10903	8326
567	10922	8307
568	10942	8288
569	10961	8269
570	10983	8251
571	10996	8228
572	11022	8214
573	11045	8197
574	11068	8181
575	11089	8163
576	11109	8144
577	11126	8123
