iter	F1	Logloss
0	0.7383546754	0.6185060155
1	0.7498799125	0.5322693633
2	0.767228747	0.4610390013
3	0.7713534967	0.4121161161
4	0.7700355537	0.3726489075
5	0.7717758167	0.3413729024
6	0.7733842111	0.310096448
7	0.7771441722	0.2833093075
8	0.7777886297	0.2595793628
9	0.7785637804	0.2405871227
10	0.7784209112	0.22409266
11	0.7801239151	0.2087447322
12	0.7794820775	0.1949922591
13	0.7777856927	0.1843862721
14	0.7805398438	0.1740120468
15	0.7820923527	0.161133133
16	0.7855257227	0.1488586368
17	0.7836300483	0.1424798097
18	0.7838676135	0.1369634021
19	0.7865741459	0.1312644815
20	0.7871187463	0.1270459211
21	0.7888550977	0.1229293879
22	0.7906885266	0.1195476442
23	0.7912590601	0.1161745885
24	0.7909869008	0.1117494497
25	0.7922216632	0.1064436104
26	0.7932011331	0.1045944756
27	0.7938658226	0.1021062979
28	0.7953240054	0.1000043043
29	0.7957460559	0.09882200292
30	0.7956159757	0.09699645152
31	0.797110201	0.09403164235
32	0.7978396417	0.09276249336
33	0.7984312143	0.09161369147
34	0.7990830051	0.09039710501
35	0.7991850416	0.08934729313
36	0.8007399519	0.088409934
37	0.8020391715	0.08640647697
38	0.8027167532	0.08550866709
39	0.8052259118	0.0847122187
40	0.8065726535	0.08277081109
41	0.8065551092	0.08198508738
42	0.8068043108	0.08124442328
43	0.8082450561	0.0802709904
44	0.8086499459	0.07949593549
45	0.8083223724	0.07892009364
46	0.8087805493	0.07842486713
47	0.8083108259	0.07729024092
48	0.8100275071	0.07674370676
49	0.8107082859	0.07630452026
50	0.810697742	0.07583284221
51	0.8121436043	0.07543928211
52	0.8130380478	0.07476240586
53	0.8127157964	0.07446041487
54	0.8139779057	0.074089441
55	0.8151503745	0.0738100631
56	0.8165487207	0.07330457687
57	0.8169719331	0.07307359363
58	0.818281867	0.07263720357
59	0.8186127599	0.07174760126
60	0.8183065887	0.0709125094
61	0.8194423479	0.07015991634
62	0.8205782405	0.06990788511
63	0.8203647023	0.06952961615
64	0.8209349177	0.06919896838
65	0.8218883196	0.06887581293
66	0.8220923326	0.06867371034
67	0.8239420275	0.06847932983
68	0.8236506001	0.06827770585
69	0.8251204285	0.06806866498
70	0.8268024658	0.06744970186
71	0.8273461479	0.06719662952
72	0.827149721	0.06694095471
73	0.8274188604	0.06662033592
74	0.8276080798	0.0664203983
75	0.8271656818	0.0661292266
76	0.8272525908	0.06590351222
77	0.8274667513	0.06558671059
78	0.8286073139	0.06535714408
79	0.8291145614	0.06521315805
80	0.8295467685	0.06502133775
81	0.8302786355	0.06483765256
82	0.8307119471	0.06457657436
83	0.8307297239	0.06441064505
84	0.8306995038	0.06426312092
85	0.8304830072	0.06410184014
86	0.8306817282	0.06390703318
87	0.8306426247	0.06373470558
88	0.8306692858	0.06358076419
