iter	F1	Logloss
89	0.8305754518	0.06340670576
90	0.8306252382	0.06327047596
91	0.8308577397	0.06315394361
92	0.8305896759	0.06297198706
93	0.8308844146	0.0628336805
94	0.8311755013	0.06271337291
95	0.8314166818	0.06257976688
96	0.8311523786	0.06242626939
97	0.8316453016	0.06223143639
98	0.8322285421	0.06195764167
99	0.8325137897	0.06183911173
100	0.8325369286	0.06156634865
101	0.8325298088	0.06136867877
102	0.8327615579	0.06119837043
103	0.8334775891	0.06103221333
104	0.8336751786	0.06078632665
105	0.8344204856	0.06067760238
106	0.834176907	0.06060632602
107	0.8343563521	0.0604532123
108	0.8343474455	0.06022738113
109	0.8348592135	0.06011081592
110	0.8348022039	0.05993402309
111	0.835107813	0.05980118138
112	0.8356136044	0.05968540737
113	0.8355637069	0.05948666156
114	0.8361047156	0.05935708772
115	0.8363706119	0.05921550907
116	0.8363848735	0.0590775977
117	0.8363920044	0.05896380875
118	0.8386324037	0.05884998974
119	0.8383335461	0.05874516628
120	0.8383442488	0.05864765272
121	0.83806135	0.05843626102
122	0.8383050069	0.05829447489
123	0.8383032232	0.05810840486
124	0.8393820719	0.05795585769
125	0.8393677953	0.05787363838
126	0.8395930843	0.05775434563
127	0.8396305626	0.05763690307
128	0.840107595	0.057472535
129	0.8408375251	0.05736425929
130	0.840832169	0.05723332323
131	0.8400968852	0.05714917701
132	0.8400558338	0.05703443521
133	0.8400219247	0.05689925437
134	0.8402611691	0.05680761219
135	0.8402897258	0.05667288028
136	0.8407484743	0.05650316263
137	0.840493248	0.05637525823
138	0.8410125281	0.0561882017
139	0.8424188668	0.05603106523
140	0.842436743	0.055925412
141	0.8424403183	0.05582298547
142	0.8424850125	0.05568916467
143	0.8424564077	0.05547897121
144	0.8424403183	0.05533550174
145	0.8426930535	0.05519881138
146	0.8433198295	0.05508760952
147	0.8433073087	0.05499174742
148	0.8433198295	0.05489881691
149	0.8433520274	0.05477962547
150	0.8431603023	0.05468413712
151	0.8436169919	0.05461010726
152	0.8436044687	0.0544266293
153	0.8436742459	0.0543268934
154	0.8437726692	0.05423935684
155	0.8437583517	0.05412690765
156	0.8439802789	0.05389827619
157	0.8442110485	0.05373282102
158	0.8442056792	0.05368297002
159	0.8444524519	0.05357860527
160	0.8442235772	0.05342082936
161	0.8447170219	0.05328707157
162	0.8449976057	0.05316145934
163	0.8450083484	0.05306234964
164	0.8450298346	0.05297625969
165	0.8450208818	0.0529021319
166	0.8450441593	0.05283772271
167	0.8445956689	0.05270951217
168	0.8448387685	0.0526073233
169	0.8448387685	0.0525540378
170	0.8448208624	0.05251423937
171	0.8448495125	0.05243627371
172	0.8458369953	0.05229463189
173	0.8455763984	0.05219513307
174	0.8458441605	0.05208385951
175	0.8458477432	0.05201312864
176	0.8458943204	0.05192106954
177	0.8459498615	0.05178620568
178	0.8461817004	0.05172099646
179	0.8465317185	0.05160678259
180	0.8462444198	0.05145886532
181	0.8470199797	0.05136572288
182	0.846520964	0.05124652988
183	0.8473087789	0.05112945003
184	0.8470988663	0.05102529926
185	0.8471239697	0.0509079269
186	0.8476351487	0.05080292371
187	0.8478663722	0.05068871012
188	0.8483751459	0.05060405477
189	0.848393086	0.05055111942
190	0.8486724429	0.0504720368
191	0.8489122255	0.05035257149
192	0.8496758261	0.05027502435
193	0.8499116083	0.05014650991
194	0.8496399276	0.05000308261
195	0.8498631433	0.04991035563
196	0.8498828877	0.04980689766
197	0.8503595239	0.04968160869
198	0.8503595239	0.0495815919
199	0.8506075618	0.04948922139
200	0.8505247155	0.04938807811
201	0.8508122829	0.04930854087
202	0.8512847351	0.04922240129
203	0.8517495882	0.04917379982
204	0.8520079127	0.049083049
205	0.8520402568	0.04901802138
206	0.8530348273	0.04891129107
207	0.8532567018	0.04881360314
208	0.8530563991	0.04872372538
209	0.8533160282	0.04858794677
210	0.8535360025	0.04848635338
211	0.8535431943	0.04842894314
212	0.8535575783	0.04829267016
213	0.8535719627	0.04817139719
214	0.8540439698	0.04800338653
215	0.8535539822	0.04789102023
216	0.8535809533	0.04777899921
217	0.8538098157	0.04773811478
218	0.8542996027	0.04765048978
219	0.8545389489	0.04755889758
220	0.8545353517	0.04749317283
221	0.8550101406	0.04743180705
222	0.8553319407	0.04733852858
223	0.8551072882	0.04726843502
224	0.8561114627	0.04716929147
225	0.8561240623	0.04707927065
226	0.856368108	0.04698746504
227	0.8563843093	0.04690754446
228	0.8563717082	0.04684385843
229	0.8563843093	0.04677816618
230	0.8564113129	0.04670268393
231	0.8566246551	0.04659452585
232	0.8571086448	0.04654049675
233	0.8577795607	0.04643327149
234	0.8577921723	0.04639499625
235	0.857788569	0.04626503348
236	0.8577957757	0.04613528122
237	0.8573427837	0.04604035325
238	0.8580482447	0.0459385132
239	0.8582663775	0.0458774214
240	0.8580176139	0.04579441342
241	0.8588375051	0.04573365663
242	0.8588465179	0.04564809306
243	0.8593812287	0.04557074334
244	0.8596042632	0.04550041433
245	0.8598849013	0.04538905066
246	0.8601474119	0.04531766451
247	0.860132983	0.04523828959
248	0.8606090077	0.04514758332
249	0.8599119534	0.04506179288
250	0.8603899848	0.04499644176
251	0.8606757541	0.04487875809
252	0.8607082291	0.0447896356
253	0.8615054556	0.04468288076
254	0.8617601776	0.04458050051
255	0.8617565674	0.04450874004
256	0.8620202185	0.04444227865
257	0.8623180819	0.04434119915
258	0.8627961545	0.04422787757
259	0.8632431245	0.04412380746
260	0.8630792928	0.04399879817
261	0.8633370509	0.0439423632
262	0.8642876108	0.04382031186
263	0.8645051252	0.04371684505
264	0.864906894	0.0436045412
265	0.8656561774	0.04355642532
266	0.8656706441	0.04347631268
267	0.865891277	0.04343025882
