iter	Passed	Remaining
397	280947	424951
398	281660	424256
399	282284	423427
400	282964	422683
401	283522	421757
402	284197	421007
403	284854	420230
404	285470	419394
405	286266	418823
406	287477	418854
407	288794	419035
408	289725	418649
409	290832	418515
410	291863	418266
411	292623	417627
412	293308	416881
413	294032	416191
414	294744	415482
415	295517	414860
416	296299	414250
417	297078	413636
418	297827	412978
419	298988	412889
420	299245	411551
421	299886	410744
422	300505	409909
423	301131	409084
424	301811	408333
425	302450	407527
426	303083	406713
427	303726	405914
428	304418	405181
429	305057	404378
430	305610	403462
431	306356	402801
432	306971	401969
433	307582	401133
434	308223	400335
435	308944	399644
436	309667	398953
437	310407	398285
438	310983	397407
439	311530	396492
440	312054	395552
441	312743	394820
442	313438	394097
443	314154	393400
444	314810	392629
445	315690	392136
446	316341	391357
447	317109	390724
448	317701	389873
449	318310	389045
450	318929	388231
451	319566	387439
452	320157	386592
453	320796	385803
454	321374	384943
455	322082	384238
456	322681	383404
457	323311	382608
458	324015	381900
459	324682	381148
460	325266	380301
461	325840	379442
462	326429	378601
463	326656	377345
464	327249	376512
465	327866	375709
466	328403	374816
467	329032	374028
468	329699	373284
469	330378	372553
470	331069	371837
471	331746	371105
472	332539	370504
473	333122	369667
474	333792	368928
475	334480	368209
476	336146	368562
477	337120	368152
478	337976	367610
479	338695	366919
480	339345	366154
481	340182	365590
482	340854	364848
483	341548	364130
484	342248	363418
485	342986	362747
486	343694	362044
487	344415	361354
488	345138	360666
489	345784	359898
490	346807	359521
491	347607	358911
492	348254	358143
493	349081	357561
494	349791	356857
495	350420	356072
496	351128	355367
497	351919	354746
498	352692	354106
499	353300	353300
500	354072	352659
501	354795	351968
502	355432	351192
503	356157	350504
504	356930	349862
505	357794	349309
506	358490	348591
507	359194	347881
508	359955	347225
509	360653	346510
510	361393	345834
511	362013	345044
512	362646	344266
513	363330	343538
514	364077	342868
515	364759	342138
516	365482	341446
517	366233	340780
518	366907	340042
519	367676	339393
520	368359	338664
521	368971	337870
522	369778	337254
523	370410	336480
524	370880	335558
525	371466	334743
526	372172	334036
527	373236	333650
528	373938	332939
529	374719	332298
530	375324	331501
531	375966	330737
532	376720	330072
533	377439	329376
534	378146	328669
535	378916	328017
536	379554	327250
537	380203	326494
538	380788	325683
539	381371	324872
540	382144	324222
541	382789	323463
542	383549	322803
543	384205	322054
544	384967	321395
545	385839	320826
546	386659	320213
547	387166	319341
548	387969	318714
549	388513	317874
550	389264	317204
551	389951	316482
552	390502	315650
553	391172	314915
554	391810	314154
555	392409	313363
556	392852	312447
557	393348	311576
558	394007	310836
559	394778	310183
560	395436	309441
561	396125	308724
562	396751	307958
563	397408	307216
564	398078	306485
565	398743	305750
566	399317	304946
567	400138	304330
568	400849	303631
569	401615	302973
570	402362	302300
571	402968	301522
572	403729	300859
573	404240	300011
574	404974	299329
575	405772	298693
576	406406	297937
577	407070	297203
578	408042	296694
579	408628	295903
580	409382	295234
581	409989	294459
582	410687	293750
583	411169	292888
584	411927	292221
585	412404	291357
586	413163	290692
587	413973	290063
588	414631	289327
589	415378	288652
590	415989	287884
591	416558	287087
592	417241	286369
593	417819	285580
594	418476	284845
595	419267	284201
596	419842	283411
597	420482	282665
598	421132	281927
599	421637	281091
600	422062	280204
601	422746	279490
602	423261	278664
603	423986	277977
604	424566	277196
605	425262	276490
606	425968	275791
607	426509	274986
608	427222	274292
609	427943	273603
610	428475	272793
611	429202	272108
612	429776	271327
613	430440	270602
614	431082	269864
615	431746	269140
616	432333	268369
617	432947	267614
618	433701	266947
619	434473	266290
620	435086	265535
621	435639	264745
622	436371	264064
623	437086	263372
624	437700	262620
625	438368	261900
626	439037	261181
627	439695	260456
628	440248	259669
629	440934	258961
630	441560	258218
631	442222	257496
632	442722	256681
633	443581	256074
634	444082	255260
635	444756	254546
636	445233	253720
637	446022	253072
638	446545	252273
639	447308	251610
640	448051	250936
641	448819	250276
642	449372	249496
643	449793	248643
644	450472	247934
645	451265	247287
646	452083	246654
647	452736	245931
648	453443	245236
649	454221	244580
650	454788	243811
651	455408	243070
652	456080	242358
653	456520	241523
654	457071	240747
655	457605	239963
656	458375	239304
657	459070	238605
658	459822	237935
659	460574	237265
660	461081	236469
661	461509	235635
662	462330	235000
663	463072	234325
664	463832	233660
665	464363	232879
666	465105	232204
667	465788	231499
668	466583	230850
669	467512	230267
670	468509	229716
671	469324	229075
672	469850	228292
673	470594	227616
674	471243	226895
675	471950	226201
676	472505	225434
677	473810	225024
678	474958	224538
679	475788	223900
680	476596	223251
681	477292	222550
682	478384	222032
683	479551	221547
684	480628	221018
685	481217	220265
686	481667	219449
687	482415	218770
688	483065	218045
689	483754	217339
690	484226	216535
691	484724	215744
692	485461	215060
693	486104	214334
694	486625	213555
695	487234	212815
696	487784	212049
697	488435	211328
698	489031	210584
699	489824	209924
700	490470	209202
701	491330	208570
702	492335	207999
703	493057	207308
704	493885	206661
705	494492	205921
706	495284	205259
707	496114	204612
708	496889	203941
709	497896	203366
710	498753	202728
711	499822	202175
712	500648	201523
713	501199	200760
714	502037	200112
715	502948	199493
716	503824	198859
717	504480	198138
718	505020	197372
719	506250	196875
720	506960	196174
721	507791	195520
722	508592	194854
723	509210	194118
724	509895	193408
725	510550	192686
726	511168	191951
727	511826	191231
728	512530	190529
729	513204	189815
730	513897	189108
731	514425	188341
732	515135	187641
733	515689	186884
734	516306	186151
735	516959	185431
736	517464	184658
737	518165	183955
738	518897	183264
739	519369	182481
740	520122	181797
741	520725	181061
742	521206	180282
743	521861	179565
744	522556	178861
745	523385	178203
746	524067	177495
747	524731	176781
748	525484	176096
749	526207	175402
750	526805	174666
751	527559	173982
752	528344	173308
753	529032	172601
754	529625	171865
755	530310	171158
756	531026	170461
757	531703	169752
758	532177	168978
759	532857	168270
760	533339	167500
761	533925	166764
762	534534	166035
763	535214	165328
