iter	Passed	Remaining
0	6	6327
1	16	8124
2	27	9003
3	37	9321
4	46	9295
5	55	9150
6	68	9722
7	81	10123
8	109	12004
9	124	12340
10	137	12397
11	157	12956
12	166	12614
13	178	12538
14	186	12223
15	205	12650
16	215	12437
17	223	12179
18	229	11869
19	236	11585
20	247	11524
21	255	11366
22	267	11377
23	278	11314
24	289	11298
25	300	11271
26	313	11289
27	325	11285
28	335	11239
29	342	11074
30	359	11224
31	368	11133
32	379	11108
33	397	11281
34	411	11335
35	424	11356
36	433	11291
37	444	11262
38	454	11197
39	464	11159
40	477	11169
41	490	11196
42	501	11170
43	508	11044
44	517	10978
45	599	12433
46	616	12495
47	633	12569
48	656	12745
49	672	12774
50	688	12813
51	708	12910
52	722	12905
53	744	13047
54	759	13045
55	771	13010
56	780	12919
57	794	12911
58	810	12932
59	825	12927
60	836	12882
61	850	12863
62	860	12798
63	871	12751
64	879	12652
65	932	13201
66	1049	14613
67	1068	14645
68	1083	14614
69	1098	14591
70	1116	14603
71	1128	14538
72	1142	14509
73	1157	14484
74	1187	14640
75	1225	14902
76	1238	14847
77	1253	14817
78	1273	14848
79	1290	14843
80	1301	14770
81	1316	14743
82	1326	14658
83	1340	14612
84	1359	14631
85	1371	14577
86	1391	14603
87	1404	14558
88	1417	14514
89	1431	14472
90	1471	14701
91	1521	15019
92	1573	15349
93	1613	15551
94	1648	15706
95	1669	15720
96	1697	15798
97	1712	15758
98	1729	15736
99	1744	15697
100	1764	15707
101	1784	15712
102	1807	15737
103	1827	15746
104	1886	16081
105	1914	16150
106	1929	16099
107	1941	16036
108	1958	16009
109	1970	15945
110	1984	15897
111	2003	15882
112	2019	15851
113	2036	15823
114	2053	15804
115	2066	15751
116	2081	15712
117	2098	15686
118	2148	15903
119	2182	16003
120	2291	16645
121	2317	16675
122	2332	16633
123	2355	16641
124	2380	16666
125	2398	16640
126	2415	16602
127	2434	16587
128	2451	16554
129	2467	16514
130	2485	16485
131	2499	16435
132	2517	16410
133	2533	16372
134	2553	16360
135	2575	16359
136	2596	16356
137	2614	16330
138	2638	16346
139	2662	16352
140	2684	16352
141	2706	16356
142	2723	16322
143	2748	16337
144	2772	16350
145	2794	16347
146	2821	16370
147	2844	16375
148	2883	16470
149	3062	17355
150	3109	17480
151	3144	17540
152	3195	17690
153	3231	17754
154	3253	17735
155	3275	17722
156	3383	18169
157	3435	18307
158	3491	18468
159	3522	18492
160	3546	18479
161	3572	18477
162	3596	18466
163	3621	18463
164	3671	18578
165	3708	18632
166	3727	18594
167	3748	18566
168	3781	18592
169	3822	18662
170	3884	18833
171	3917	18858
172	3948	18874
173	3980	18896
174	4015	18929
175	4037	18901
176	4054	18852
177	4069	18792
178	4084	18734
179	4104	18697
180	4123	18656
181	4145	18632
182	4170	18616
183	4209	18669
184	4263	18780
185	4388	19205
186	4420	19217
187	4432	19145
188	4461	19145
189	4486	19124
190	4507	19092
191	4531	19068
192	4556	19053
193	4574	19006
194	4588	18942
195	4600	18870
196	4687	19108
197	4711	19084
198	4729	19037
199	4748	18995
200	4770	18965
201	4791	18928
