iter	Logloss
0	0.6575299277
1	0.6230926464
2	0.5923704413
3	0.5626120332
4	0.5363938682
5	0.5121304009
6	0.4898869278
7	0.4691895714
8	0.4500660813
9	0.4327489581
10	0.4165602492
11	0.4013638753
12	0.3878083215
13	0.3751761558
14	0.3637074002
15	0.3530043465
16	0.3430966891
17	0.3336884251
18	0.3253567277
19	0.3177178571
20	0.309512933
21	0.3021681985
22	0.2947272291
23	0.287083195
24	0.280620592
25	0.274373607
26	0.268307854
27	0.2621468519
28	0.2566434532
29	0.2519140038
30	0.2472115291
31	0.2431536189
32	0.2387793213
33	0.2341787219
34	0.2300495707
35	0.2260904662
36	0.2225617275
37	0.2191419612
38	0.2162527712
39	0.213258537
40	0.2105144189
41	0.2079489832
42	0.2056152271
43	0.2036947416
44	0.2018534983
45	0.1999493492
46	0.1981872768
47	0.1964101001
48	0.1947892425
49	0.1932716699
50	0.192174667
51	0.190760183
52	0.1895339019
53	0.188267655
54	0.1871938012
55	0.1860883374
56	0.185253955
57	0.1843518266
58	0.1834380132
59	0.1825645495
60	0.1817381905
61	0.1810447034
62	0.1802344927
63	0.1795169149
64	0.1790853567
65	0.1784705205
66	0.1778838682
67	0.1772778953
68	0.1766718185
69	0.1760141192
70	0.1753250947
71	0.1748190857
72	0.1742432712
73	0.1737776227
74	0.1732697996
75	0.1727925727
76	0.1724668616
77	0.1720516116
78	0.1714278614
79	0.1708552378
80	0.1703627024
81	0.1699158669
82	0.1694318947
83	0.168922971
84	0.1684537707
85	0.1679931671
86	0.1675752489
87	0.1671921768
88	0.1668885274
89	0.166684018
90	0.166303063
91	0.1658964106
92	0.1655039234
93	0.1651670201
94	0.164937992
95	0.1646854934
96	0.1643413962
97	0.1640400317
98	0.1638821606
99	0.1637686456
100	0.1635310524
101	0.1632548165
102	0.1630830431
103	0.1629084025
104	0.1627306336
105	0.1625650235
106	0.1623924327
107	0.1622349452
108	0.1621181567
109	0.1619372797
110	0.1617403882
111	0.1615659169
112	0.1614394128
113	0.1612573823
114	0.1610843864
115	0.1609405654
116	0.1608490852
117	0.1607063255
118	0.1605981614
119	0.1604300166
120	0.1603221528
121	0.160200147
122	0.1600820708
123	0.1599215352
124	0.1598413506
125	0.1597356022
126	0.1595975494
127	0.1595111982
128	0.1593833207
129	0.1592600244
130	0.1591512268
131	0.1590522036
132	0.1589352509
133	0.1588148949
134	0.1587407545
135	0.1586933019
136	0.1586299665
137	0.1585285409
138	0.1584308926
139	0.1583560004
140	0.1583015712
141	0.1582633875
142	0.1582539858
143	0.1581047614
144	0.1580366869
145	0.1579490575
146	0.1579052257
147	0.157791204
148	0.1575966988
149	0.1574310507
150	0.1572497726
151	0.1571337147
152	0.1570050671
153	0.1568440541
154	0.1566977877
155	0.1566303595
156	0.1564795476
157	0.1563387951
158	0.1562407737
159	0.156202759
160	0.1561611202
161	0.1560961777
162	0.1560497078
163	0.1559660801
164	0.1558584089
165	0.1557636706
166	0.1556996578
167	0.1556664262
168	0.1555174752
169	0.1554117239
170	0.1552628468
171	0.1552235862
172	0.1551762871
173	0.1551421946
174	0.1551135363
175	0.1550735632
176	0.1549861822
177	0.1549339935
178	0.1548648888
179	0.1547440587
180	0.1546560793
181	0.1546346405
182	0.1546105982
183	0.1545573236
184	0.1544616169
185	0.1544113751
186	0.1543899622
187	0.1543899309
188	0.1543588431
189	0.154292484
190	0.1542280082
191	0.1541884826
192	0.1541103668
193	0.1540658139
194	0.1540623661
195	0.1540623095
196	0.1540477111
197	0.1540289458
198	0.1539868241
199	0.1539471548
200	0.1538488696
201	0.1538118051
202	0.1537319885
203	0.1537028221
204	0.1536415906
205	0.1535921948
206	0.1535591275
207	0.153499054
208	0.1534738501
209	0.1534447508
210	0.1533990591
211	0.1533631736
212	0.1533074327
213	0.1532732532
214	0.1531783527
215	0.1531501119
216	0.1531068653
217	0.1530516825
218	0.1529408042
219	0.1528637645
220	0.1528354479
221	0.1528143697
222	0.1527872685
223	0.1526748224
224	0.1526437124
225	0.1526349387
226	0.1525923601
227	0.1525719286
228	0.1525286294
229	0.1524590126
230	0.1524268063
231	0.1524101866
232	0.1523154127
233	0.1522285581
234	0.1522162328
235	0.1521930879
236	0.1521716856
237	0.1520839164
238	0.1520348403
239	0.1519878834
240	0.1519505071
241	0.1518659635
242	0.1518188338
243	0.151807708
244	0.1517508921
245	0.1516984944
246	0.1516696057
247	0.1516510292
248	0.1515791391
249	0.1515520589
250	0.1514920885
251	0.1514763631
252	0.1514204436
253	0.1513955508
254	0.1513657969
255	0.1513168432
256	0.151303953
257	0.1512316559
258	0.1511975926
259	0.1511681993
