iter	Passed	Remaining
0	9	9944
1	20	10464
2	30	10215
3	47	11811
4	57	11385
5	66	11049
6	76	10782
7	84	10448
8	98	10797
9	112	11100
10	120	10846
11	128	10552
12	133	10132
13	141	9976
14	152	10034
15	163	10028
16	174	10112
17	185	10147
18	191	9907
19	202	9942
20	217	10126
21	229	10222
22	240	10214
23	248	10089
24	258	10080
25	264	9912
26	270	9733
27	282	9804
28	297	9946
29	308	9975
30	321	10037
31	333	10078
32	344	10099
33	357	10159
34	365	10084
35	377	10118
36	389	10141
37	406	10293
38	414	10210
39	427	10254
40	440	10307
41	452	10331
42	464	10342
43	478	10393
44	489	10397
45	503	10441
46	517	10492
47	533	10575
48	548	10638
49	560	10642
50	574	10688
51	587	10715
52	598	10686
53	608	10656
54	621	10677
55	631	10641
56	643	10646
57	655	10642
58	666	10632
59	676	10597
60	690	10633
61	709	10730
62	722	10743
63	735	10761
64	748	10772
65	763	10800
66	775	10799
67	788	10809
68	804	10853
69	815	10828
70	827	10833
71	838	10810
72	853	10844
73	866	10840
74	876	10813
75	889	10809
76	899	10787
77	911	10777
78	926	10799
79	941	10832
80	952	10811
81	965	10813
82	979	10823
83	992	10819
84	1002	10795
85	1017	10811
86	1029	10802
87	1042	10806
88	1058	10832
89	1071	10833
90	1084	10830
91	1098	10841
92	1112	10851
93	1126	10860
94	1156	11018
95	1180	11116
96	1198	11152
97	1215	11189
98	1228	11180
99	1241	11173
100	1253	11158
101	1269	11175
102	1281	11156
103	1296	11169
104	1312	11191
105	1324	11170
106	1338	11170
107	1349	11145
108	1362	11138
109	1376	11133
110	1390	11136
111	1405	11140
112	1420	11148
113	1432	11132
114	1446	11129
115	1459	11124
116	1475	11132
117	1490	11142
118	1510	11181
119	1522	11161
120	1540	11190
121	1552	11173
122	1569	11188
123	1581	11175
124	1596	11173
125	1613	11189
126	1629	11202
127	1643	11199
128	1656	11187
129	1670	11176
130	1687	11191
131	1705	11214
132	1724	11243
133	1741	11255
134	1758	11267
135	1776	11288
136	1798	11326
137	1815	11338
138	1829	11331
139	1844	11330
140	1861	11340
141	1879	11355
142	1894	11351
143	1907	11341
144	1921	11331
145	1938	11337
146	1957	11356
147	1975	11373
148	1991	11376
149	2004	11361
150	2019	11354
151	2039	11376
152	2052	11362
153	2064	11343
154	2079	11334
155	2094	11329
156	2108	11321
157	2123	11319
158	2136	11301
159	2150	11288
160	2166	11288
161	2182	11291
162	2198	11288
163	2213	11284
164	2228	11279
165	2246	11287
166	2258	11263
167	2270	11244
168	2284	11233
169	2298	11224
170	2317	11233
171	2329	11212
172	2342	11199
173	2355	11183
174	2370	11174
175	2384	11162
176	2398	11153
177	2413	11147
178	2428	11139
179	2444	11136
180	2459	11130
181	2473	11116
182	2489	11112
183	2504	11106
184	2517	11090
185	2529	11071
186	2543	11059
187	2556	11042
188	2575	11049
189	2594	11058
190	2614	11071
191	2630	11068
192	2644	11058
193	2658	11046
194	2676	11047
195	2691	11039
196	2705	11027
197	2718	11010
198	2730	10992
199	2744	10979
200	2760	10973
201	2776	10969
202	2790	10955
203	2807	10953
204	2822	10944
205	2835	10928
206	2850	10918
207	2865	10912
208	2881	10906
209	2900	10911
210	2925	10938
211	2953	10977
212	2986	11035
213	3031	11134
214	3058	11166
215	3071	11148
216	3085	11131
217	3099	11117
218	3111	11095
219	3120	11063
220	3136	11057
221	3150	11040
222	3164	11027
223	3180	11018
224	3196	11008
225	3211	10998
226	3228	10994
227	3244	10984
228	3257	10968
229	3273	10958
230	3288	10947
231	3300	10926
232	3315	10914
233	3329	10899
234	3348	10899
235	3366	10897
236	3382	10889
237	3395	10870
238	3410	10859
239	3424	10844
240	3437	10826
241	3453	10816
242	3468	10805
243	3482	10790
244	3499	10783
245	3513	10770
246	3527	10752
247	3543	10745
248	3557	10728
249	3572	10716
250	3585	10700
251	3600	10687
252	3608	10654
253	3626	10650
254	3642	10642
255	3660	10636
256	3675	10625
257	3687	10605
258	3703	10595
259	3719	10586
260	3732	10567
261	3745	10550
262	3752	10514
263	3764	10496
264	3779	10484
265	3797	10479
266	3813	10468
267	3827	10454
268	3843	10445
269	3859	10434
270	3871	10415
271	3890	10413
272	3905	10400
273	3920	10386
274	3933	10370
275	3948	10357
276	3964	10347
277	3980	10338
278	3998	10332
279	4044	10399
280	4059	10388
281	4075	10376
282	4087	10355
283	4103	10345
284	4118	10333
285	4132	10317
286	4150	10310
287	4169	10308
288	4183	10293
289	4197	10277
290	4211	10261
291	4228	10251
292	4243	10239
293	4258	10225
294	4271	10208
295	4282	10186
296	4301	10182
297	4315	10166
298	4330	10152
299	4348	10146
300	4370	10150
301	4385	10135
302	4400	10123
303	4415	10109
304	4431	10098
305	4445	10081
306	4460	10068
307	4475	10055
308	4490	10042
309	4504	10027
310	4519	10013
311	4533	9997
312	4547	9981
313	4557	9957
314	4574	9948
315	4589	9934
316	4608	9929
317	4622	9912
318	4637	9900
319	4652	9887
320	4659	9856
321	4675	9845
322	4694	9838
323	4710	9827
324	4727	9818
325	4739	9799
326	4756	9788
327	4768	9769
328	4782	9754
329	4795	9736
330	4811	9725
331	4827	9713
332	4841	9698
333	4858	9687
334	4875	9679
335	4888	9661
336	4901	9642
337	4916	9629
338	4931	9615
339	4948	9605
340	4964	9593
341	4978	9579
342	5006	9589
343	5025	9582
344	5042	9572
345	5064	9571
346	5088	9574
347	5104	9563
348	5121	9554
349	5140	9547
350	5157	9536
351	5173	9523
352	5190	9512
353	5204	9496
354	5222	9488
355	5236	9473
356	5251	9459
357	5267	9446
358	5283	9434
359	5302	9426
360	5317	9412
361	5332	9397
362	5347	9383
363	5363	9372
364	5376	9352
365	5391	9339
366	5405	9323
367	5420	9308
368	5435	9294
369	5448	9276
370	5459	9255
371	5474	9241
372	5486	9222
373	5502	9210
374	5517	9196
375	5534	9184
376	5546	9165
377	5557	9145
378	5573	9132
379	5587	9116
380	5598	9096
381	5614	9083
382	5629	9068
383	5642	9051
384	5657	9036
385	5670	9019
386	5689	9012
387	5704	8997
388	5716	8979
389	5732	8965
390	5745	8949
391	5763	8939
