iter	Logloss
0	0.6575188768
1	0.6234766954
2	0.5928744418
3	0.5642433138
4	0.5383765711
5	0.5135224241
6	0.4905874953
7	0.4698572103
8	0.4503469309
9	0.4328597826
10	0.4166222206
11	0.4018183359
12	0.3882062522
13	0.3757192486
14	0.3641777893
15	0.3526970026
16	0.3413974025
17	0.3312896436
18	0.3230997291
19	0.3138246041
20	0.3053588864
21	0.2976393329
22	0.2898159139
23	0.2836159806
24	0.276782881
25	0.2715755195
26	0.2676889048
27	0.2623062888
28	0.2579609513
29	0.2536443152
30	0.2486575276
31	0.2440968897
32	0.2393095463
33	0.2352406182
34	0.2312313945
35	0.2274595668
36	0.2235209069
37	0.2202085233
38	0.217879522
39	0.2153748228
40	0.2128330318
41	0.2104376617
42	0.2082770479
43	0.2063063528
44	0.2041485342
45	0.2023314245
46	0.2003305463
47	0.1986774712
48	0.1970247716
49	0.1954912398
50	0.1940039759
51	0.1924461848
52	0.1910982362
53	0.1898510545
54	0.1887590789
55	0.1877304688
56	0.1867923195
57	0.1858303917
58	0.1849531529
59	0.1840642921
60	0.1834497681
61	0.1826971772
62	0.1819001012
63	0.1811475996
64	0.1804329499
65	0.179738893
66	0.1790711708
67	0.1784496307
68	0.1779601088
69	0.1774278427
70	0.176943573
71	0.1764647208
72	0.1758400703
73	0.1751919643
74	0.1745659405
75	0.1739794228
76	0.173412022
77	0.1729045312
78	0.1724228319
79	0.1720068399
80	0.171574929
81	0.1711982264
82	0.1708400761
83	0.1704701265
84	0.1701259478
85	0.1697780389
86	0.1694688271
87	0.169166179
88	0.1688912618
89	0.1686129974
90	0.1683400808
91	0.1680651298
92	0.1678023735
93	0.1675254693
94	0.1672953893
95	0.1670187746
96	0.1668362903
97	0.1665646069
98	0.166308822
99	0.1660800986
100	0.165856718
101	0.1655644267
102	0.1653138236
103	0.1649711856
104	0.1647056947
105	0.1644713712
106	0.16427144
107	0.1640616689
108	0.1638377518
109	0.1636935677
110	0.1634768637
111	0.1633062717
112	0.1631420318
113	0.1629481036
114	0.162724243
115	0.1625394984
116	0.1623420123
117	0.1622590429
118	0.1620561367
119	0.1619254054
120	0.161706188
121	0.1615371231
122	0.1614248131
123	0.1612749558
124	0.1611249591
125	0.1609052994
126	0.1607831319
127	0.1607106275
128	0.1605089703
129	0.1603406004
130	0.1602306271
131	0.1601451446
132	0.1600666795
133	0.1599161774
134	0.1598179969
135	0.1597211572
136	0.1596270647
137	0.1594839941
138	0.1594246014
139	0.1592193886
140	0.1591687778
141	0.1590285535
142	0.1588625538
143	0.1588002549
144	0.1587552046
145	0.1586311374
146	0.1585090782
147	0.1584415222
148	0.1583584299
149	0.1582211218
150	0.1581552561
151	0.1581185419
152	0.1580259439
153	0.1579556107
154	0.1578810539
155	0.1578305129
156	0.157728017
157	0.1576369523
158	0.157584845
159	0.1575138674
160	0.1574377805
161	0.1573887117
162	0.1572866775
163	0.157245967
164	0.1572096969
165	0.1571654997
166	0.1571076749
167	0.1570443313
168	0.157019344
169	0.1569605256
170	0.1568846572
171	0.156817779
172	0.1567906635
173	0.1567409924
174	0.1567117907
175	0.1566718046
176	0.1566271503
177	0.156522647
178	0.1564696564
179	0.1564128265
180	0.1563401453
181	0.156274516
182	0.156211214
183	0.1560975217
184	0.1560266913
185	0.1559828048
186	0.1559364113
187	0.1558670373
188	0.1557862747
189	0.1557335824
190	0.1556818854
191	0.1555844114
192	0.1555501195
193	0.1555184113
194	0.1554792188
195	0.1554100516
196	0.1553794897
197	0.1553285947
198	0.1552704841
199	0.1552533311
200	0.1551828729
201	0.1551190703
202	0.1550967854
203	0.1550503016
204	0.1549841223
205	0.154930132
206	0.1549105845
207	0.1548829637
208	0.1548447847
209	0.154787821
210	0.1547145183
211	0.1546422792
212	0.1545732899
213	0.1545009991
214	0.1544898598
215	0.1544017321
216	0.1543549985
217	0.1543022923
218	0.1542486812
219	0.1542444642
